scenario,Image_Tool,Total_Time,Time_Script,Time_Image,Time_Voice,Time_Video,Problem Size,Predicted Problem Size,setting,Script,Video Path
6,DallE3,57.35,3.44,19.54,3.93,7.69,glitch,glitch,basketball,"In the school gym, Alex was excited to join his friends for a fun game of basketball.But as he dribbled the ball, it suddenly bounced sideways and rolled into a corner, stopping the game.His friends groaned, and Alex felt a little embarrassed that he interrupted the flow.Alex wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_6_DallE3.mp4
6,GPTimage,65.79,3.44,22.76,7.32,4.12,glitch,glitch,basketball,"In the school gym, Alex was excited to join his friends for a fun game of basketball.But as he dribbled the ball, it suddenly bounced sideways and rolled into a corner, stopping the game.His friends groaned, and Alex felt a little embarrassed that he interrupted the flow.Alex wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_6_GPTimage.mp4
7,DallE3,60.09,5.13,19.36,5.62,8.18,glitch,bummer,soccer,"Emma was excited to play soccer at the park with her friends.As she kicked the ball, it suddenly landed in a muddy puddle.The ball was dirty, and her friends looked worried about how they could keep playing.Emma wondered to herself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_7_DallE3.mp4
7,GPTimage,69.83,5.13,21.79,10.66,3.75,glitch,bummer,soccer,"Emma was excited to play soccer at the park with her friends.As she kicked the ball, it suddenly landed in a muddy puddle.The ball was dirty, and her friends looked worried about how they could keep playing.Emma wondered to herself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_7_GPTimage.mp4
8,DallE3,54.62,4.82,21.4,4.46,7.22,glitch,bummer,tennis,"Lucas was excited to play in his first tennis match at school.Just as the game was about to start, Lucas realized he forgot his favorite lucky cap at home.He felt a bit worried, thinking about how it might affect his game.Lucas wondered to himself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_8_DallE3.mp4
8,GPTimage,63.21,4.82,16.72,8.2,3.93,glitch,bummer,tennis,"Lucas was excited to play in his first tennis match at school.Just as the game was about to start, Lucas realized he forgot his favorite lucky cap at home.He felt a bit worried, thinking about how it might affect his game.Lucas wondered to himself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_8_GPTimage.mp4
9,DallE3,55.5,3.06,19.45,3.56,7.64,glitch,bummer,vacation,"Emma was happily building a sandcastle on the beach during her family vacation.She went to grab her shovel but realized it had been taken by another kid nearby.Emma felt upset as she watched her shovel being used to dig a big hole.She thought to herself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_9_DallE3.mp4
9,GPTimage,64.46,3.06,21.79,7.48,4.16,glitch,bummer,vacation,"Emma was happily building a sandcastle on the beach during her family vacation.She went to grab her shovel but realized it had been taken by another kid nearby.Emma felt upset as she watched her shovel being used to dig a big hole.She thought to herself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_9_GPTimage.mp4
10,DallE3,57.72,4.44,19.66,4.86,9.2,glitch,bummer,birthday party,"Liam, a 10-year-old boy, is at his birthday party in the backyard, surrounded by colorful balloons and friends.Excitedly, Liam runs towards the table with his birthday cake, topped with ten candles.As everyone sings the birthday song, a gust of wind suddenly blows out all the candles before he can make a wish.Liam pauses, thinking to himself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_10_DallE3.mp4
10,GPTimage,68.71,4.44,19.56,8.4,5.28,glitch,bummer,birthday party,"Liam, a 10-year-old boy, is at his birthday party in the backyard, surrounded by colorful balloons and friends.Excitedly, Liam runs towards the table with his birthday cake, topped with ten candles.As everyone sings the birthday song, a gust of wind suddenly blows out all the candles before he can make a wish.Liam pauses, thinking to himself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_10_GPTimage.mp4
11,DallE3,50.57,3.8,17.57,3.46,8.05,glitch,glitch,tennis,"Lucy excitedly packs her tennis gear for practice at the local park.On the way to the court, she realizes she left her favorite water bottle at home.Lucy's mom reminds her there’s a water fountain nearby, so she can stay hydrated.Lucy wonders, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_11_DallE3.mp4
11,GPTimage,59.47,3.8,17.7,7.37,4.07,glitch,bummer,tennis,"Lucy excitedly packs her tennis gear for practice at the local park.On the way to the court, she realizes she left her favorite water bottle at home.Lucy's mom reminds her there’s a water fountain nearby, so she can stay hydrated.Lucy wonders, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_11_GPTimage.mp4
12,DallE3,57.29,4.85,18.28,3.64,9.32,glitch,bummer,swimming,"Liam, a 7-year-old boy, eagerly jumps into the swimming pool with his classmates for a fun lesson.Suddenly, Liam realizes that his goggles have slipped off and are floating away.He feels a bit embarrassed as he struggles to find them while his friends giggle.Liam wonders, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_12_DallE3.mp4
12,GPTimage,65.39,4.85,21.2,6.69,4.11,glitch,bummer,swimming,"Liam, a 7-year-old boy, eagerly jumps into the swimming pool with his classmates for a fun lesson.Suddenly, Liam realizes that his goggles have slipped off and are floating away.He feels a bit embarrassed as he struggles to find them while his friends giggle.Liam wonders, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_12_GPTimage.mp4
13,DallE3,64.96,5.55,25.06,3.75,8.24,glitch,bummer,soccer,"Liam was excited as he joined his friends at the soccer field for their weekend match.He realized he had forgotten to bring his lucky soccer socks that he always wore during games.Feeling a bit uneasy, he noticed his teammates were already starting to warm up.""How big is this problem?"" Liam wondered, as his coach called everyone to the field.",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_13_DallE3.mp4
13,GPTimage,74.04,5.55,22.36,7.47,4.45,glitch,bummer,soccer,"Liam was excited as he joined his friends at the soccer field for their weekend match.He realized he had forgotten to bring his lucky soccer socks that he always wore during games.Feeling a bit uneasy, he noticed his teammates were already starting to warm up.""How big is this problem?"" Liam wondered, as his coach called everyone to the field.",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_13_GPTimage.mp4
14,DallE3,54.35,6.03,18.95,3.41,7.1,glitch,bummer,tennis,"Emma was excited to play tennis with her friends at the local park.As she reached the court, she realized she forgot her tennis racket at home.Her friends were already playing, and she felt a bit left out.Emma thought, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_14_DallE3.mp4
14,GPTimage,65.04,6.03,18.86,9.64,3.5,glitch,bummer,tennis,"Emma was excited to play tennis with her friends at the local park.As she reached the court, she realized she forgot her tennis racket at home.Her friends were already playing, and she felt a bit left out.Emma thought, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_14_GPTimage.mp4
15,DallE3,58.0,4.17,19.45,3.59,7.71,glitch,glitch,vacation,"Emma was excited as her family arrived at the beach for their vacation.She ran towards the ocean, eager to jump into the waves.But just as she reached the water, she realized she forgot her favorite beach ball at the hotel.Emma asked herself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_15_DallE3.mp4
15,GPTimage,66.32,4.17,23.08,7.19,3.8,glitch,bummer,vacation,"Emma was excited as her family arrived at the beach for their vacation.She ran towards the ocean, eager to jump into the waves.But just as she reached the water, she realized she forgot her favorite beach ball at the hotel.Emma asked herself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_15_GPTimage.mp4
16,DallE3,51.87,4.3,19.15,3.52,7.69,glitch,bummer,curling,"Emma stepped onto the curling rink, excited for practice at her favorite ice arena.She realized she left her lucky curling stone at home and felt a bit anxious.Her coach reassured her that she could borrow another stone easily.Emma wondered, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_16_DallE3.mp4
16,GPTimage,60.3,4.3,17.21,7.11,4.0,glitch,bummer,curling,"Emma stepped onto the curling rink, excited for practice at her favorite ice arena.She realized she left her lucky curling stone at home and felt a bit anxious.Her coach reassured her that she could borrow another stone easily.Emma wondered, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_16_GPTimage.mp4
17,DallE3,59.28,9.13,18.5,3.95,7.95,glitch,bummer,volleyball,"Emma was all set for her volleyball practice at the beach.As she approached the court, a sudden gush of wind blew sand all over her water bottle and snacks.Feeling a little frustrated, she brushed off the sand, realizing it would take a few minutes to clean up.Emma wondered to herself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_17_DallE3.mp4
17,GPTimage,67.91,9.13,19.75,7.44,4.2,glitch,glitch,volleyball,"Emma was all set for her volleyball practice at the beach.As she approached the court, a sudden gush of wind blew sand all over her water bottle and snacks.Feeling a little frustrated, she brushed off the sand, realizing it would take a few minutes to clean up.Emma wondered to herself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_17_GPTimage.mp4
18,DallE3,54.7,5.12,19.77,3.32,7.53,glitch,glitch,dancing,"In the school gym, Alex felt excited as he got ready for the dance competition.Suddenly, his shoelace came untied right before it was his turn to perform.He quickly realized he might trip if he didn't fix it fast.Alex wondered to himself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_18_DallE3.mp4
18,GPTimage,63.1,5.12,18.97,7.09,3.71,glitch,glitch,dancing,"In the school gym, Alex felt excited as he got ready for the dance competition.Suddenly, his shoelace came untied right before it was his turn to perform.He quickly realized he might trip if he didn't fix it fast.Alex wondered to himself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_18_GPTimage.mp4
19,DallE3,60.31,5.81,12.39,3.63,13.48,glitch,bummer,soccer,"Liam was so excited as he kicked the soccer ball around the school yard during recess.Just as he was about to make a goal, his shoe slipped off, flying across the field.The other kids couldn’t help but giggle, leaving Liam feeling embarrassed.Liam picked up his shoe, puzzled, and thought, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_19_DallE3.mp4
19,GPTimage,69.24,5.81,25.0,7.15,4.3,glitch,bummer,soccer,"Liam was so excited as he kicked the soccer ball around the school yard during recess.Just as he was about to make a goal, his shoe slipped off, flying across the field.The other kids couldn’t help but giggle, leaving Liam feeling embarrassed.Liam picked up his shoe, puzzled, and thought, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_19_GPTimage.mp4
20,DallE3,51.5,5.65,12.4,5.39,8.3,glitch,bummer,birthday party,"Liam was excited for his birthday party at the local park with all his friends coming over.As everyone started to play games, Liam noticed a small drizzle of rain beginning to fall.The kids dashed under the gazebo, giggling as they waited for the rain to stop.Liam thought to himself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_20_DallE3.mp4
20,GPTimage,60.89,5.65,19.76,9.23,4.45,glitch,bummer,birthday party,"Liam was excited for his birthday party at the local park with all his friends coming over.As everyone started to play games, Liam noticed a small drizzle of rain beginning to fall.The kids dashed under the gazebo, giggling as they waited for the rain to stop.Liam thought to himself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_20_GPTimage.mp4
21,DallE3,60.94,6.73,25.15,3.82,7.88,glitch,bummer,lacrosse,"Alex, a 10-year-old, was excitedly getting ready for lacrosse practice at the local field.Upon arriving, they realized they forgot their lacrosse stick at home.Alex felt a little annoyed because now they couldn't join practice right away.They thought to themselves, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_21_DallE3.mp4
21,GPTimage,69.57,6.73,17.36,7.23,4.15,glitch,bummer,lacrosse,"Alex, a 10-year-old, was excitedly getting ready for lacrosse practice at the local field.Upon arriving, they realized they forgot their lacrosse stick at home.Alex felt a little annoyed because now they couldn't join practice right away.They thought to themselves, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_21_GPTimage.mp4
22,DallE3,59.85,5.17,19.27,3.67,8.24,glitch,bummer,game,"In a cozy living room, 8-year-old Liam settles down excitedly to play his favorite video game.Just as he reaches a new level, the game suddenly freezes, leaving Liam staring at the screen.He tries pressing buttons and even restarts the game, but it won't budge.Liam sighs, thinking to himself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_22_DallE3.mp4
22,GPTimage,69.01,5.17,23.5,7.26,4.65,glitch,bummer,game,"In a cozy living room, 8-year-old Liam settles down excitedly to play his favorite video game.Just as he reaches a new level, the game suddenly freezes, leaving Liam staring at the screen.He tries pressing buttons and even restarts the game, but it won't budge.Liam sighs, thinking to himself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_22_GPTimage.mp4
23,DallE3,56.49,6.09,18.33,3.38,11.34,glitch,glitch,class,"In class, Mia suddenly realized she had left her favorite pencil case at home.Her teacher asked everyone to take out their supplies, and Mia felt a little panicked.She remembered there were some spare pencils in the classroom supply box.Mia asked herself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_23_DallE3.mp4
23,GPTimage,66.02,6.09,17.35,7.7,4.23,glitch,glitch,class,"In class, Mia suddenly realized she had left her favorite pencil case at home.Her teacher asked everyone to take out their supplies, and Mia felt a little panicked.She remembered there were some spare pencils in the classroom supply box.Mia asked herself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_23_GPTimage.mp4
24,DallE3,49.52,2.67,19.72,3.62,7.44,glitch,bummer,singing,"Liam was at the school talent show, eagerly waiting for his turn to sing.As the curtains opened, he realized he'd forgotten the first line of his song.Liam took a deep breath, hoping the words would come back to him.He whispered to himself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_24_DallE3.mp4
24,GPTimage,59.74,2.67,16.06,9.1,3.71,glitch,bummer,singing,"Liam was at the school talent show, eagerly waiting for his turn to sing.As the curtains opened, he realized he'd forgotten the first line of his song.Liam took a deep breath, hoping the words would come back to him.He whispered to himself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_24_GPTimage.mp4
25,DallE3,50.68,4.84,13.96,3.7,6.89,glitch,bummer,singing,"Emma was excited to perform her song at the school talent show.But as she started to sing, she realized her microphone wasn't working.The audience noticed and began whispering, making Emma feel nervous.Emma wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_25_DallE3.mp4
25,GPTimage,58.99,4.84,21.29,7.31,3.72,glitch,bummer,singing,"Emma was excited to perform her song at the school talent show.But as she started to sing, she realized her microphone wasn't working.The audience noticed and began whispering, making Emma feel nervous.Emma wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_25_GPTimage.mp4
26,DallE3,61.55,4.34,23.97,4.04,8.71,glitch,bummer,ski,"Jake was excited to hit the slopes for the first time, looking forward to his skiing adventure.As he put on his skis, he realized one of the straps on his boot was broken.He looked around, seeing other kids already gliding down the mountain, feeling a twinge of frustration.Jake wondered to himself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_26_DallE3.mp4
26,GPTimage,71.03,4.34,20.48,8.11,4.46,glitch,bummer,ski,"Jake was excited to hit the slopes for the first time, looking forward to his skiing adventure.As he put on his skis, he realized one of the straps on his boot was broken.He looked around, seeing other kids already gliding down the mountain, feeling a twinge of frustration.Jake wondered to himself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_26_GPTimage.mp4
27,DallE3,52.15,4.48,12.91,5.29,8.46,glitch,bummer,birthday party,"At Jack's birthday party, he eagerly opened his presents, surrounded by friends and family.When he tore off the wrapping of a big box, he found it was just socks from Aunt Lucy.His friends started laughing, thinking it was a funny gift.Jack wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_27_DallE3.mp4
27,GPTimage,61.78,4.48,21.0,9.93,3.94,glitch,bummer,birthday party,"At Jack's birthday party, he eagerly opened his presents, surrounded by friends and family.When he tore off the wrapping of a big box, he found it was just socks from Aunt Lucy.His friends started laughing, thinking it was a funny gift.Jack wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_27_GPTimage.mp4
28,DallE3,50.21,6.29,13.41,4.62,8.22,glitch,bummer,art,"Lily was painting happily in art class when her brush accidentally dipped into blue instead of red, covering her sunset in an unexpected ocean.She felt a twinge of frustration as she looked at her classmates' perfect work.With a sigh, she considered starting over, but knew the class would end soon.Lily wondered, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_28_DallE3.mp4
28,GPTimage,59.63,6.29,17.67,8.45,4.71,glitch,bummer,art,"Lily was painting happily in art class when her brush accidentally dipped into blue instead of red, covering her sunset in an unexpected ocean.She felt a twinge of frustration as she looked at her classmates' perfect work.With a sigh, she considered starting over, but knew the class would end soon.Lily wondered, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_28_GPTimage.mp4
29,DallE3,61.12,4.31,26.11,3.39,8.85,glitch,bummer,soccer,"In a small town, young Alex was excited to play soccer with his friends at the local park.Just as the game began, Alex accidentally kicked the ball into the nearby pond.His friends laughed, and Alex felt a bit embarrassed watching the ball drift away.He thought to himself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_29_DallE3.mp4
29,GPTimage,69.9,4.31,18.46,6.58,4.57,glitch,bummer,soccer,"In a small town, young Alex was excited to play soccer with his friends at the local park.Just as the game began, Alex accidentally kicked the ball into the nearby pond.His friends laughed, and Alex felt a bit embarrassed watching the ball drift away.He thought to himself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_29_GPTimage.mp4
30,DallE3,48.16,4.72,12.43,3.46,8.14,glitch,bummer,game,"Alex, a 10-year-old boy, was excited to play his favorite video game after finishing his homework.Just as he reached a new level, the game suddenly froze and the screen went black.He tried restarting the console but it kept showing an error message.Alex wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_30_DallE3.mp4
30,GPTimage,57.63,4.72,19.4,7.33,4.31,glitch,bummer,game,"Alex, a 10-year-old boy, was excited to play his favorite video game after finishing his homework.Just as he reached a new level, the game suddenly froze and the screen went black.He tried restarting the console but it kept showing an error message.Alex wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_30_GPTimage.mp4
31,DallE3,57.12,6.05,18.83,3.6,8.62,glitch,bummer,tryout,"Alex was excited about soccer tryouts at the park, hoping to join the team this year.As the tryout began, Alex noticed they had forgotten their lucky water bottle at home.Feeling a bit anxious, they tried to shake it off and focus on the game.At that moment, Alex sighed and wondered, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_31_DallE3.mp4
31,GPTimage,66.52,6.05,20.03,7.55,4.53,glitch,bummer,tryout,"Alex was excited about soccer tryouts at the park, hoping to join the team this year.As the tryout began, Alex noticed they had forgotten their lucky water bottle at home.Feeling a bit anxious, they tried to shake it off and focus on the game.At that moment, Alex sighed and wondered, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_31_GPTimage.mp4
32,DallE3,62.53,6.73,22.31,3.41,9.07,glitch,bummer,game,"Alex, an enthusiastic 10-year-old, is at his friend Mia's house, ready to play a new video game they've been excited about.As they start the game, Alex quickly discovers that his controller isn’t working properly.He tries reconnecting it and changing the batteries, but nothing seems to fix it.Alex wonders, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_32_DallE3.mp4
32,GPTimage,71.6,6.73,21.01,6.96,4.61,glitch,bummer,game,"Alex, an enthusiastic 10-year-old, is at his friend Mia's house, ready to play a new video game they've been excited about.As they start the game, Alex quickly discovers that his controller isn’t working properly.He tries reconnecting it and changing the batteries, but nothing seems to fix it.Alex wonders, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_32_GPTimage.mp4
33,DallE3,54.47,4.14,18.39,3.82,8.54,glitch,bummer,tennis,"Lisa was excited to play tennis after school with her best friend.As they started playing, Lisa realized she forgot her favorite tennis ball at home.She felt a bit embarrassed but knew she could use the spare balls provided.Lisa thought to herself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_33_DallE3.mp4
33,GPTimage,63.65,4.14,19.58,7.33,4.12,glitch,bummer,tennis,"Lisa was excited to play tennis after school with her best friend.As they started playing, Lisa realized she forgot her favorite tennis ball at home.She felt a bit embarrassed but knew she could use the spare balls provided.Lisa thought to herself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_33_GPTimage.mp4
34,DallE3,53.77,3.92,20.53,3.37,7.86,glitch,bummer,playing video game,"Danny was excited to play his favorite video game after finishing his homework.As he started the game, he noticed that the character was stuck, unable to move properly.Danny tried pressing all the buttons, but nothing seemed to work.With a sigh, he thought to himself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/GlitchFolder/video_glitch_34_DallE3.mp4
